terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
b,L,vv,N,2.0,NULL,2.0,NULL,3.0,NULL,4.0,52.0,7.0,5.0,24.0,235.0,4.0,NULL,NULL,NULL,NULL
b,L,vv,snmin,-12.5,NULL,-13.0,NULL,-14.0,NULL,-17.0,-21.0,-19.5,-17.0,-18.0,-14.0,-24.5,NULL,NULL,NULL,NULL
b,L,vv,snmax,-10.5,NULL,-11.5,NULL,-7.0,NULL,-7.0,-12.5,-10.0,-10.0,-8.5,-7.5,-10.0,NULL,NULL,NULL,NULL
b,L,hv,N,2.0,NULL,2.0,NULL,4.0,NULL,6.0,56.0,12.0,10.0,47.0,463.0,6.0,NULL,NULL,NULL,NULL
b,L,hv,snmin,-20.0,NULL,-22.5,NULL,-21.5,NULL,-22.5,-24.5,-24.5,-23.5,-23.0,-22.0,-26.0,NULL,NULL,NULL,NULL
b,L,hv,snmax,-17.5,NULL,-19.5,NULL,-13.0,NULL,-13.5,-18.5,-15.0,-17.0,-16.0,-13.5,-15.0,NULL,NULL,NULL,NULL
b,L,hh,N,2.0,NULL,2.0,NULL,3.0,NULL,4.0,52.0,7.0,5.0,24.0,235.0,4.0,NULL,NULL,NULL,NULL
b,L,hh,snmin,-11.0,NULL,-14.5,NULL,-16.0,NULL,-18.0,-21.5,-18.0,-14.0,-15.5,-15.0,-20.5,NULL,NULL,NULL,NULL
b,L,hh,snmax,-10.5,NULL,-13.0,NULL,-8.0,NULL,-8.5,-8.5,-10.0,-7.5,-10.0,-7.0,-11.0,NULL,NULL,NULL,NULL
b,W,vv,N,NULL,NULL,3.0,NULL,3.0,NULL,3.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL
b,W,vv,snmin,NULL,NULL,-6.0,NULL,-6.5,NULL,-6.5,NULL,-8.0,NULL,-9.5,NULL,-11.0,NULL,-13.5,NULL,NULL
b,W,vv,snmax,NULL,NULL,-2.0,NULL,-4.5,NULL,-3.0,NULL,-7.5,NULL,-9.0,NULL,-10.0,NULL,-12.0,NULL,NULL
b,W,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b,W,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b,W,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b,W,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b,W,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.0,-9.5,-10.0,-11.0,-12.0,-14.0,-15.0,-18.0
b,W,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.0,-9.5,-10.0,-11.0,-12.0,-14.0,-15.0,-18.0
b,Ku,vv,N,66.0,NULL,70.0,NULL,69.0,NULL,72.0,NULL,80.0,NULL,77.0,NULL,70.0,NULL,64.0,NULL,58.0
b,Ku,vv,snmin,-19.0,NULL,-23.5,NULL,-21.0,NULL,-21.5,NULL,-20.0,NULL,-17.0,NULL,-18.0,NULL,-22.0,NULL,-21.0
b,Ku,vv,snmax,-1.5,NULL,-3.5,NULL,-5.0,NULL,-6.0,NULL,-6.5,NULL,-7.5,NULL,-8.5,NULL,-11.5,NULL,-9.5
b,Ku,hv,N,64.0,NULL,64.0,NULL,64.0,NULL,64.0,NULL,64.0,NULL,58.0,NULL,64.0,NULL,58.0,NULL,58.0
b,Ku,hv,snmin,-21.5,NULL,-25.0,NULL,-23.5,NULL,-21.5,NULL,-21.5,NULL,-19.0,NULL,-20.5,NULL,-25.0,NULL,-21.0
b,Ku,hv,snmax,-4.0,NULL,-6.0,NULL,-8.5,NULL,-8.0,NULL,-9.5,NULL,-9.5,NULL,-11.0,NULL,-13.5,NULL,-12.5
b,Ku,hh,N,66.0,NULL,70.0,NULL,64.0,NULL,65.0,NULL,70.0,NULL,66.0,NULL,70.0,NULL,64.0,NULL,58.0
b,Ku,hh,snmin,-19.0,NULL,-23.5,NULL,-21.0,NULL,-21.5,NULL,-20.0,NULL,-17.5,NULL,-19.0,NULL,-22.0,NULL,-21.0
b,Ku,hh,snmax,-1.5,NULL,-3.5,NULL,-6.0,NULL,-6.0,NULL,-7.0,NULL,-7.5,NULL,-8.5,NULL,-11.5,NULL,-9.5
b,S,vv,N,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL,NULL,2.0,NULL,NULL,NULL,2.0
b,S,vv,snmin,-12.0,NULL,-15.0,NULL,-15.5,NULL,-15.0,NULL,-14.0,NULL,NULL,NULL,-22.0,NULL,NULL,NULL,-21.0
b,S,vv,snmax,-11.0,NULL,-9.5,NULL,-10.5,NULL,-13.0,NULL,-11.5,NULL,NULL,NULL,-21.5,NULL,NULL,NULL,-19.0
b,S,hv,N,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL,NULL,2.0,NULL,NULL,NULL,2.0
b,S,hv,snmin,-19.0,NULL,-23.0,NULL,-20.0,NULL,-21.5,NULL,-21.5,NULL,NULL,NULL,-25.0,NULL,NULL,NULL,-28.0
b,S,hv,snmax,-18.0,NULL,-18.5,NULL,-18.0,NULL,-17.5,NULL,-18.0,NULL,NULL,NULL,-22.5,NULL,NULL,NULL,-24.0
b,S,hh,N,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL,NULL,2.0,NULL,NULL,NULL,2.0
b,S,hh,snmin,-11.0,NULL,-16.5,NULL,-16.0,NULL,-16.0,NULL,-15.5,NULL,NULL,NULL,-22.5,NULL,NULL,NULL,-21.5
b,S,hh,snmax,-10.0,NULL,-12.0,NULL,-11.0,NULL,-12.5,NULL,-12.0,NULL,NULL,NULL,-18.0,NULL,NULL,NULL,-20.0
b,X,vv,N,52.0,NULL,50.0,NULL,57.0,NULL,57.0,NULL,64.0,NULL,76.0,92.0,62.0,NULL,55.0,NULL,44.0
b,X,vv,snmin,-16.5,NULL,-20.0,NULL,-19.0,NULL,-17.0,NULL,-19.5,NULL,-18.0,-19.5,-20.5,NULL,-22.5,NULL,-18.5
b,X,vv,snmax,-1.5,NULL,-2.5,NULL,-2.5,NULL,-4.0,NULL,-4.0,NULL,-5.5,-14.5,-9.5,NULL,-8.5,NULL,-10.0
b,X,hv,N,61.0,NULL,59.0,NULL,65.0,NULL,66.0,NULL,76.0,NULL,100.0,183.0,65.0,NULL,59.0,NULL,60.0
b,X,hv,snmin,-20.0,NULL,-23.0,NULL,-22.0,NULL,-19.0,NULL,-26.5,NULL,-24.0,-26.0,-19.5,NULL,-25.0,NULL,-21.0
b,X,hv,snmax,-4.5,NULL,-5.0,NULL,-7.5,NULL,-8.5,NULL,-9.5,NULL,-10.0,-21.5,-12.0,NULL,-11.5,NULL,-11.0
b,X,hh,N,53.0,NULL,52.0,NULL,56.0,4.0,60.0,NULL,67.0,NULL,85.0,95.0,74.0,1.0,67.0,1.0,54.0
b,X,hh,snmin,-16.5,NULL,-20.0,NULL,-19.0,-10.5,-17.0,NULL,-18.5,NULL,-17.5,-18.5,-19.0,-25.0,-27.0,-29.0,-30.0
b,X,hh,snmax,-1.5,NULL,-2.5,NULL,-2.0,-9.0,-4.0,NULL,-4.0,NULL,-2.0,-2.0,-2.5,-25.0,-3.5,-29.0,-6.5
b,C,vv,N,5.0,NULL,5.0,NULL,11.0,NULL,4.0,NULL,10.0,6.0,NULL,119.0,8.0,NULL,NULL,2.0,4.0
b,C,vv,snmin,-12.0,NULL,-15.5,NULL,-15.0,NULL,-12.0,NULL,-13.5,-9.5,NULL,-10.0,-20.0,NULL,NULL,-4.0,-20.5
b,C,vv,snmax,-8.0,NULL,-9.0,NULL,-7.0,NULL,-7.5,NULL,-8.0,2.5,NULL,-7.0,0.5,NULL,NULL,-3.5,-17.0
b,C,hv,N,5.0,NULL,5.0,NULL,11.0,NULL,11.0,NULL,11.0,NULL,NULL,117.0,4.0,NULL,NULL,NULL,4.0
b,C,hv,snmin,-17.5,NULL,-22.5,NULL,-20.5,NULL,-19.5,NULL,-20.5,NULL,NULL,-15.5,-24.0,NULL,NULL,NULL,-26.0
b,C,hv,snmax,-14.5,NULL,-14.5,NULL,-11.0,NULL,-14.0,NULL,-14.0,NULL,NULL,-13.5,-20.5,NULL,NULL,NULL,-23.0
b,C,hh,N,4.0,NULL,4.0,NULL,9.0,NULL,2.0,NULL,8.0,NULL,NULL,117.0,NULL,NULL,NULL,NULL,NULL
b,C,hh,snmin,-12.0,NULL,-14.5,NULL,-14.0,NULL,-12.0,NULL,-13.0,NULL,NULL,-10.0,NULL,NULL,NULL,NULL,NULL
b,C,hh,snmax,-9.0,NULL,-9.0,NULL,-7.0,NULL,-7.5,NULL,-7.5,NULL,NULL,-7.5,NULL,NULL,NULL,NULL,NULL
d,Ka,vv,N,10.0,10.0,26.0,10.0,26.0,NULL,26.0,NULL,26.0,NULL,26.0,NULL,24.0,NULL,24.0,NULL,13.0
d,Ka,vv,snmin,-4.0,-5.0,-9.5,-11.0,-16.5,NULL,-15.0,NULL,-18.0,NULL,-19.5,NULL,-19.5,NULL,-34.0,NULL,-26.5
d,Ka,vv,snmax,24.5,6.0,1.5,-1.0,-1.5,NULL,-2.5,NULL,-4.5,NULL,-6.5,NULL,-9.0,NULL,-12.0,NULL,-17.5
d,Ka,hv,N,3.0,9.0,10.0,10.0,10.0,NULL,10.0,NULL,10.0,NULL,10.0,NULL,8.0,NULL,8.0,NULL,3.0
