terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
a1,S,hh,countData,[2. 0. 0. 0. 0. 0. 0. 2. 4. 2. 1. 3. 4. 2. 7. 2. 3. 3. 3. 2. 1. 0. 2. 1. 0. 1. 0. 2. 0. 0. 2. 0. 0. 1. 0. 1. 0. 0. 1. 2. 1. 0. 2. 0. 0. 1.],[2. 1. 0. 0. 0. 0. 1. 3. 1. 1. 4. 6. 1. 8. 3. 1. 1.],[2. 0. 1. 0. 2. 1. 0. 0. 1. 0. 1. 1. 4. 2. 5. 6. 4. 2. 4. 3. 1. 3. 2. 6. 6. 2. 4. 5. 7. 7. 8. 3. 2. 0. 3. 1. 4. 2.],[2. 1. 1. 1. 3. 4. 2. 3. 4. 4. 3. 3. 8. 3. 4. 8. 5. 4. 4. 2. 4. 1. 2. 0. 1. 0. 1. 1.],[1. 1. 0. 1. 1. 2. 1. 3. 4. 0. 2. 5. 1. 3. 3. 2. 3. 6. 3. 8. 6. 4. 4. 3. 1. 4. 2. 0. 2. 8. 3. 5. 0. 4. 2. 4. 2. 1.],NULL,[1. 0. 1. 1. 1. 0. 0. 1. 0. 2. 4. 1. 0. 0. 4. 1. 3. 3. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 2. 1. 1. 0. 0. 0. 2. 2. 1. 0. 2. 0. 0. 1. 0. 2. 5. 4. 2. 2. 2. 1. 1. 0. 1.],NULL,[1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 4. 0. 2. 2. 2. 2. 2. 1. 1. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1.],NULL,NULL,NULL,NULL,NULL,NULL
a1,X,vv,N,1.0,2.0,2.0,2.0,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL
a1,X,vv,snmin,8.5,4.0,-3.0,-2.0,-3.0,NULL,-6.5,NULL,-8.0,NULL,-11.0,NULL,-13.0,NULL,-16.5,NULL,NULL
a1,X,vv,snmax,8.5,7.0,-1.0,-0.5,-2.5,NULL,-3.5,NULL,-5.0,NULL,-7.0,NULL,-13.0,NULL,-14.5,NULL,NULL
a1,X,vv,countData,[1.],[1. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 1.],[1. 0. 0. 1.],[1. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[2.],NULL,[1. 0. 0. 0. 1.],NULL,NULL
a1,X,hv,N,15.0,NULL,NULL,14.0,NULL,NULL,15.0,NULL,NULL,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,snmin,-18.0,NULL,NULL,-21.0,NULL,NULL,-22.5,NULL,NULL,-27.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,snmax,-4.0,NULL,NULL,-10.0,NULL,NULL,-13.5,NULL,NULL,-17.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,countData,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 4. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1.],NULL,NULL,[1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 2. 0. 0. 1. 1. 1. 1. 1. 1. 1.],NULL,NULL,[1. 1. 0. 0. 0. 0. 0. 2. 1. 0. 1. 2. 0. 2. 1. 2. 0. 1. 1.],NULL,NULL,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hh,N,11.0,2.0,8.0,63.0,8.0,NULL,17.0,NULL,8.0,NULL,8.0,NULL,8.0,NULL,7.0,NULL,4.0
a1,X,hh,snmin,3.5,3.0,-1.5,-8.0,-4.5,NULL,-12.0,NULL,-10.0,NULL,-13.0,NULL,-15.5,NULL,-21.5,NULL,-19.0
a1,X,hh,snmax,15.5,6.0,6.0,4.5,1.5,NULL,3.5,NULL,2.0,NULL,-1.0,NULL,-4.0,NULL,-5.5,NULL,-10.5
a1,X,hh,countData,[1. 0. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 1.],[1. 0. 0. 0. 0. 0. 1.],[2. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1.],[1. 2. 1. 0. 0. 1. 2. 2. 1. 5. 6. 6. 1. 7. 6. 4. 2. 0. 1. 2. 3. 2. 0. 3. 4. 1.],[1. 2. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 2.],NULL,[1. 0. 0. 0. 1. 1. 3. 0. 3. 3. 0. 0. 2. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1.],NULL,[1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 2. 0. 0. 0. 1.],NULL,[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.]
a1,C,vv,N,142.0,64.0,236.0,156.0,234.0,NULL,142.0,NULL,78.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,vv,snmin,-7.0,-8.0,-13.5,-9.0,-17.0,NULL,-25.5,NULL,-27.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,vv,snmax,24.5,4.5,11.0,5.0,1.5,NULL,1.0,NULL,-10.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
