terrain_type,band,polarization,thetamin,thetamax,p1,p2,p3,p4,p5,p6,m1,m2,m3
c3a2,C,hv,0.0,80.0,-99.0,88.168,0.139,4.22,2.741,-3.142,11.929,-9.0,-0.094
c3a2,L,hh,0.0,80.0,-24.56,22.595,3.63,0.964,6.068,-3.142,-9.0,11.753,0.03
c3a2,L,vv,0.0,80.0,-78.365,99.0,0.77,30.0,-1.369,2.497,11.45,-9.0,-0.051
c3a2,L,hv,0.0,80.0,-64.0,9.254,1.057,30.0,0.0,0.0,2.657,0.0,0.0
c3a2,Ku,hh,0.0,80.0,-99.0,99.0,0.125,-3.001,2.729,0.054,2.19,0.588,6.507
c3a2,Ku,vv,0.0,80.0,-93.434,99.0,0.413,-24.481,1.248,1.241,2.217,0.462,7.148
c3a2,Ku,hv,40.0,70.0,-40.299,0.0,0.0,30.0,0.86,-0.551,-9.0,11.21,-0.015
c3a2,X,hh,0.0,80.0,-99.0,94.811,0.076,-0.709,6.668,-3.142,1.858,1.305,3.145
c3a2,X,vv,0.0,80.0,-99.0,99.0,0.153,-3.852,2.766,0.059,1.973,1.116,2.854
c3a2,X,hv,40.0,70.0,-19.4,-0.001,-5.755,30.0,-0.163,-1.233,2.359,0.0,0.0
c3a2,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a2,S,hh,0.0,80.0,-19.162,15.992,3.082,0.592,-5.0,-3.142,-9.0,11.894,0.065
c3a2,S,vv,0.0,80.0,-17.542,13.827,2.357,-0.808,5.827,-2.148,1.25,1.637,0.689
